Symbol,Date,Open,High,Low,Close,Percent Change,Volume
LEMF,24/01/2024,9.11,9.12,9.1,9.12,0.33%,"10,550.00"
LICN,24/01/2024,1387.2,1397,1387.2,1391,0.07%,"1,607.00"
LIFEINSU,24/01/2024,10690.22,10832.65,10652.22,10665.09,-0.36%,"241,860,235.50"
LLBS,24/01/2024,765.9,817.7,756,773.9,2.42%,"5,644.00"
LSL,24/01/2024,172,172,169.2,169.8,-0.35%,"27,241.00"
LUK,24/01/2024,8.25,8.56,8.16,8.56,1.90%,795
LVF2,24/01/2024,7.9,8.26,7.9,8.1,0.75%,"2,450.00"
MAKAR,24/01/2024,348,367,348,354.6,-0.11%,"15,474.00"
MANDU,24/01/2024,687.1,714,685,700,0.00%,"20,819.00"
MANUFACTURE,24/01/2024,5827.9,5925.54,5802.55,5815.13,-0.22%,"183,187,817.30"
MBJC,24/01/2024,328,330,314,320,-1.54%,"38,645.00"
MBL,24/01/2024,197,198,190.9,192,-1.84%,"64,577.00"
MCHL,24/01/2024,317,329,309.3,310,-2.21%,"10,513.00"
MDB,24/01/2024,415.7,419,410.1,414,-2.36%,"10,790.00"
MEHL,24/01/2024,302.9,302.9,287,291,-2.02%,"16,449.00"
MEL,24/01/2024,229.3,239,228,228.3,-2.39%,"69,439.00"
MEN,24/01/2024,624,633,619,621,0.32%,"121,165.00"
